Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2015,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CZ,IL,,2,,live,,Z,W
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,NO,,1,1,bodies,,P,W
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,SE,,1,,bodies,,S,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BE,SR,,,3,live,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DE,FR,,,12,feathers,,S,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GH,SR,,,2,feathers,,E,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GH,SR,,,46,feathers,,Q,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,NL,SR,,,26,feathers,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,SE,SR,,,4,feathers,,P,W
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,KZ,UZ,RU,,2,live,,Q,U
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,UZ,RU,,2,,live,,Q,U
2015,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,GY,,,74,specimens,,T,W
2015,I,Alouatta spp.,Mammalia,Primates,Atelidae,Alouatta,ZA,AU,,2,,skulls,,S,U
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,CR,,1,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,GT,,5,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,HN,,1,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,MX,,5,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,NI,,2,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,PA,,3,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,136,specimens,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,NI,,,54,specimens,,S,W
2015,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,246,specimens,,S,W
2015,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,CR,SV,,,34,specimens,,S,W
2015,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,IT,CR,,,400,specimens,,S,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AT,CH,XX,,1,carvings,,S,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,BM,CA,,,1,baleen,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,1,bones,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,1,1,carvings,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,1.5,baleen,kg,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,6,baleen,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,135,carvings,g,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,3,2,carvings,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,CA,,,8,specimens,,S,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,,5,baleen,kg,P,W
2015,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,5,,skin pieces,g,S,W
2015,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,BR,,60,,specimens,,S,W
2015,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,19,skin pieces,,S,W
2015,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,1,specimens,,S,W
2015,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,10,,skin pieces,g,S,W
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,4000,meat,kg,T,W
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,,20000,meat,kg,T,W
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,15,,skin pieces,g,S,W
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,6,,specimens,,S,W
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,US,,,1,specimens,,S,W
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,2,,baleen,,P,W
2015,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,333,,bodies,,S,W
2015,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,25,,skin pieces,g,S,W
2015,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,FK,US,,0.005,specimens,kg,S,W
2015,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NZ,,5,,specimens,,S,W
2015,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,ZZ,,4,,specimens,,S,W
2015,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,,3.4,bones,kg,P,W
2015,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,90,,bodies,,S,W
2015,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,80,,skin pieces,g,S,W
2015,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,1,,specimens,,S,W
2015,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,25,,bodies,,S,W
2015,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,340,,skin pieces,g,S,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,CA,,1,baleen,,E,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,,1,,baleen,,Q,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,CA,,1,1,specimens,,S,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,80,,skin pieces,g,S,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,NO,,,5,specimens,,S,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,2,,specimens,,S,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AU,AQ,1,,specimens,,S,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CL,,12,,specimens,,S,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,12,specimens,,S,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,CA,,1,baleen,,E,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,,1,,baleen,,Q,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,IS,,500,,specimens,,S,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,1,,skins,,S,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,30,,skin pieces,g,S,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,NO,,,7,specimens,,S,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,68,,specimens,,S,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,23,,specimens,,S,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,ES,,1,2,specimens,,S,W
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CA,XX,1,,baleen,,P,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,19,19,baleen,,P,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,1,1,bones,,P,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,MG,,,103,specimens,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,RU,,,93,skin pieces,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,ZZ,,100,,skin pieces,g,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,NO,,,3,specimens,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,US,CA,108,,specimens,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,US,,510,,specimens,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NO,GL,,,6,baleen,,P,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,FR,,,138,skins,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,TN,FR,FR,,1,skin pieces,,E,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AQ,,99,,skin pieces,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AQ,,31,,specimens,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,CA,,9,,specimens,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,NZ,,82,,specimens,,S,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,ZA,NA,,43,specimens,,S,W
2015,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,GB,MG,,,2,specimens,,S,W
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,XX,1,,trophies,,H,W
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ZA,US,XX,1,,trophies,,H,W
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,PK,,1,,skins,,H,W
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,PK,,1,2,trophies,,H,W
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,TJ,,2,,trophies,,H,W
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,PK,,2,2,trophies,,H,W
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,XX,2,1,trophies,,H,W
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,PK,,2,2,trophies,,H,W
