Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2005,I,Aquila adalberti,Aves,Falconiformes,Accipitridae,Aquila,US,ES,,249,,specimens,,S,W
2005,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,KZ,,2376,,feathers,,S,W
2005,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,250,,feathers,,S,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,FR,BR,1,,feathers,,E,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,FR,BR,17,,feathers,,P,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,US,BR,1,,feathers,,E,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,US,BR,,1,feathers,,L,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,FR,BR,,49,70,feathers,,E,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,FR,BR,,,17,feathers,,P,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,FR,BR,,17,,feathers,,Q,W
2005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,FR,BR,,20,,feathers,,S,W
2005,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,DE,US,,1,,horns,,P,U
2005,I,Antilocapra americana peninsularis,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,US,MX,,55,102,specimens,,S,W
2005,I,Antilocapra americana sonoriensis,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,US,MX,XX,1,,horns,,P,W
2005,I,Antilocapra americana sonoriensis,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,US,MX,,,5,live,,N,W
2005,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,ES,CL,,1.31,,sawn wood,kg,L,W
2005,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,ES,CL,,,3,specimens,,S,W
2005,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,10,derivatives,,S,W
2005,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,JP,CR,,200,,specimens,ml,S,W
2005,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,JP,CR,,,20,specimens,,S,W
2005,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,US,CR,,,10,derivatives,,S,W
2005,I,Ateles geoffroyi frontatus,Mammalia,Primates,Atelidae,Ateles,JP,CR,,,20,specimens,,S,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,DK,GL,25,,specimens,,S,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,,25,specimens,,S,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,4,baleen,,P,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,4,,bones,,P,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,5,5,carvings,,P,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,4,4,carvings,,Q,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,SJ,,7,,specimens,,E,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,SJ,,2,,specimens,,S,W
2005,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,3,,unspecified,,E,W
2005,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,CA,US,1,,bone carvings,,P,W
2005,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,NZ,,,19,bones,,P,W
